"conservation_id","location","data_type","access_level","transaction_count","total_credits","optimization_priority"
C004,Lampung Barat,Geographic,Public,2,565,Priority 1
C001,Aceh Jaya,Geographic,Public,2,350,Priority 1
C019,Jember,Geographic,Public,1,350,Priority 1
C007,Minahasa Selatan,Geographic,Public,1,170,Priority 1
C010,Kubu Raya,Geographic,Public,1,350,Priority 1
C016,Pekalongan,Geographic,Public,1,325,Priority 1
C013,Banyuwangi,Geographic,Public,1,250,Priority 1
C003,Tanah Laut,Transaction,Auditor,2,465,Priority 2
C018,Tegal,Transaction,Auditor,1,275,Priority 2
C015,Sampang,Transaction,Auditor,1,150,Priority 2
C012,Karawang,Transaction,Auditor,1,300,Priority 2
C009,Merauke,Transaction,Auditor,1,270,Priority 2
C006,Labuhan Batu,Transaction,Auditor,1,400,Priority 2
C002,Takalar,Personal,Restricted,2,610,Priority 3
C020,Blitar,Personal,Restricted,1,225,Priority 3
C011,Pontianak,Personal,Restricted,1,225,Priority 3
C005,Bengkulu Utara,Personal,Restricted,1,220,Priority 3
C008,Seram Bagian Barat,Personal,Restricted,1,200,Priority 3
C014,Sampit,Personal,Restricted,1,375,Priority 3
C017,Serang,Personal,Restricted,1,200,Priority 3
